City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,cockburn town,21.4612,-71.1419,27.93,73,16,7.73,TC,1698507308
152,port mathurin,-19.6833,63.4167,24.68,78,10,3.89,MU,1698507556
153,harstad,68.799,16.5293,0.66,91,97,3.13,NO,1698507557
154,papao,-17.75,-149.55,23.82,76,100,2.63,PF,1698507557
155,isafjordur,66.0755,-23.124,3.17,87,100,2.6,IS,1698507557
156,masterton,-40.9597,175.6575,2.07,84,13,0.85,NZ,1698507558
157,polyarnyy,69.1989,33.4478,-3.82,86,100,1.71,RU,1698507558
158,ivolginsk,51.7492,107.2837,-3.19,50,25,2.0,RU,1698507559
159,al ghayzah,16.2079,52.176,26.54,68,50,2.91,YE,1698507559
160,levuka,50.1834,-105.4011,-6.1,90,27,4.26,CA,1698507560
161,kiama,-34.6833,150.8667,12.92,77,23,4.94,AU,1698507560
162,sainte-anne-des-monts,49.124,-66.4924,10.93,93,100,1.03,CA,1698507561
163,holualoa,19.6228,-155.9522,21.91,81,0,3.58,US,1698507561
164,mut,36.6439,33.4389,22.26,48,4,1.98,TR,1698507562
165,dakhla,23.6848,-15.958,22.01,78,65,9.26,EH,1698507562
166,bacalar,18.6667,-88.3833,28.06,78,75,0.0,MX,1698507563
167,hermanus,-34.4187,19.2345,14.79,65,85,8.45,ZA,1698507563
168,dhidhdhoo,6.8833,73.1,28.16,75,100,3.31,MV,1698507564
169,marquelia,16.5833,-98.8167,28.23,75,99,1.19,MX,1698507564
170,lihue,21.9789,-159.3672,21.58,77,0,4.12,US,1698507565
171,ust'-ilimsk,58.0006,102.6619,-3.64,56,100,5.36,RU,1698507565
172,malango,-2.9627,119.9001,17.69,65,88,1.16,ID,1698507566
173,ilave,-16.0833,-69.6667,17.0,24,86,2.51,PE,1698507566
174,kayangel,8.0823,134.7173,28.24,71,100,1.21,PW,1698507567
175,port blair,11.6667,92.75,26.02,94,40,1.03,IN,1698507567
176,vuktyl,63.8567,57.3094,-10.5,95,39,0.89,RU,1698507568
177,marsa alam,25.0757,34.8918,28.03,55,98,4.13,EG,1698507568
178,vila velha,-20.3297,-40.2925,29.97,66,40,6.17,BR,1698507569
179,waslala,13.2333,-85.3833,28.7,66,25,1.66,NI,1698507569
180,san antonio de pale,-1.4014,5.6325,26.44,79,9,4.49,GQ,1698507570
